Repository,Author,Closed,ClosedAt, CreatedAt, LastEditedAt, State, Title, UpdatedAt
shiftbot,sheaphillips,false,,2016-11-01T21:23:12Z,,OPEN,"Ability to provision new (compliant) BC Gov open source repo via chat client",2016-11-01T21:23:12Z
shiftbot,sheaphillips,false,,2016-11-01T21:24:14Z,,OPEN,"Ability to check a repo for open source policy compliance via chat client",2016-11-01T21:24:14Z
openshift-tools,stewartshea,true,2020-01-23T20:04:38Z,2017-08-16T18:30:46Z,,CLOSED,"improve infrastructure checking in reboot playbook",2020-01-23T20:04:38Z
openshift-tools,hawthose,true,2018-06-25T16:31:48Z,2017-08-31T18:45:30Z,2017-08-31T18:49:06Z,CLOSED,"race condition",2018-06-25T16:31:48Z
openshift-tools,StevenBarre,true,2020-01-23T19:55:33Z,2018-06-25T16:34:08Z,,CLOSED,"Gluster disk check may alert unnessisarily",2020-01-23T19:55:33Z
openshift-tools,stewartshea,true,2020-01-23T19:48:46Z,2018-07-27T15:16:41Z,,CLOSED,"Hardcoded router count causes manual updates to the playbook",2020-01-23T19:48:46Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:42Z,2019-02-07T18:56:39Z,,CLOSED,"Update instructions on confirmation page",2019-02-20T21:49:42Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:40Z,2019-02-07T19:01:53Z,,CLOSED,"Going through 'Update Registration Profile' flow after registering, prior to confirming email skips to 'thank you' and does not show profile info.",2019-02-20T21:49:40Z
openshift-tools,sheaphillips,true,2019-03-12T20:48:44Z,2019-02-07T19:02:21Z,,CLOSED,"Do we want the 'end user' name to be 'Reggie'?",2019-03-12T20:48:44Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:47Z,2019-02-07T19:54:23Z,,CLOSED,"Review email template/content",2019-02-20T21:49:47Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:41Z,2019-02-07T20:31:59Z,,CLOSED,"Layout - do we want login/logout buttons in header when this is a login app?",2019-02-20T21:49:41Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:43Z,2019-02-07T20:47:02Z,,CLOSED,"'Welcome' message should use Firstname as provided in profile form.",2019-02-20T21:49:43Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:44Z,2019-02-07T20:48:19Z,,CLOSED,"Need additional descriptive text on screen with 'Go to RocketChat' and 'Invite New User'",2019-02-20T21:49:44Z
openshift-tools,sheaphillips,true,2019-02-08T00:21:54Z,2019-02-07T20:59:17Z,,CLOSED,"Logout does not seem to work...",2019-02-08T00:21:54Z
openshift-tools,sheaphillips,true,2019-02-08T00:42:34Z,2019-02-07T21:02:54Z,,CLOSED,"Email address not passed through from GitHub auth in registration flow?",2019-02-08T00:42:34Z
openshift-tools,sheaphillips,true,2019-02-20T21:49:37Z,2019-02-11T18:29:20Z,,CLOSED,"Include link in message to 'repeat the registration process'.",2019-02-20T21:49:37Z
openshift-tools,sheaphillips,true,2019-07-12T18:37:49Z,2019-02-28T19:44:17Z,,CLOSED,"Add 'product_owner' metadata to project space creation script/process",2019-07-12T18:37:50Z
openshift-tools,ShellyXueHan,true,2019-03-13T16:37:44Z,2019-03-04T20:20:48Z,,CLOSED,"Quota template outdated",2019-03-13T16:37:44Z
openshift-tools,ShellyXueHan,true,2019-04-25T22:06:36Z,2019-04-25T22:06:06Z,,CLOSED,"Investigate into Terraform KeyCloak provider",2019-04-25T22:06:36Z
openshift-tools,caggles,true,2019-10-28T22:48:27Z,2019-10-23T18:02:09Z,,CLOSED,"Update OpenShift Project Labels to include PO and PL rocket-chat contact information.",2019-10-28T22:48:27Z
openshift-tools,mitovskaol,false,,2020-03-24T23:03:32Z,,OPEN,"Display source repo info for GitHub-sourced pages in DevHub",2020-03-24T23:03:32Z
openshift-tools,mitovskaol,false,,2020-04-28T18:19:16Z,,OPEN,"Add BCDevExchange Logo and Banner to the new Status Page",2020-04-28T18:19:16Z
openshift-tools,mitovskaol,true,2020-07-29T17:53:15Z,2020-06-17T16:57:20Z,,CLOSED,"Update Resource Tuning Guidelines",2020-07-29T17:53:15Z
openshift-tools,mitovskaol,false,,2020-07-29T18:26:55Z,,OPEN,"Update SysDig Platform Capacity Dashboard with more info",2020-07-29T18:27:13Z
openshift-tools,mitovskaol,true,2020-10-26T16:39:36Z,2020-09-23T19:05:30Z,2020-10-01T20:48:38Z,CLOSED,"Apply SRE principles to build a reliable Platform Service",2020-10-26T16:39:36Z
openshift-tools,mitovskaol,false,,2020-10-01T16:24:13Z,,OPEN,"Cleaning up inactive users in RocketChat",2020-10-01T16:24:14Z
openshift-tools,mitovskaol,false,,2020-10-05T20:27:22Z,,OPEN,"Inactive user pruning in RocketChat",2020-10-05T20:28:07Z
openshift-tools,mitovskaol,true,2020-10-14T16:59:39Z,2020-10-08T17:54:19Z,,CLOSED,"Project Registry Front end Wording tweaks",2020-10-14T16:59:39Z
BCDevOps-Guide,garywong-bc,false,,2018-04-18T01:54:09Z,,OPEN,"Incomplete sentence?",2018-04-18T01:54:09Z
s2i-caddy,agehlers,true,2018-03-10T03:37:42Z,2018-03-01T23:04:56Z,,CLOSED,"LICENSE File mising",2018-03-10T03:37:42Z
s2i-caddy,cvarjao,false,,2019-04-13T06:41:13Z,2019-04-13T06:52:57Z,OPEN,"Make this image more compatible with other s2i images",2019-04-13T06:52:57Z
s2i-caddy,ytqsl,false,,2020-04-02T21:15:43Z,,OPEN,"Upgrade to Caddy v1",2020-04-02T21:15:43Z
openshift-wiki,cvarjao,true,2018-02-16T22:57:19Z,2018-02-16T17:18:24Z,,CLOSED,"How-to: Crete a self-signed certificate",2018-02-16T22:57:24Z
openshift-wiki,cvarjao,true,2018-02-16T22:56:57Z,2018-02-16T17:20:36Z,,CLOSED,"How-to: Generate a Certificate Signing Request (CSR)",2018-02-16T22:56:57Z
openshift-wiki,StevenBarre,true,2019-05-27T18:38:52Z,2018-10-19T17:43:05Z,,CLOSED,"Best practices for CronJobs",2019-05-27T18:38:52Z
openshift-wiki,ShellyXueHan,true,2019-03-07T18:08:06Z,2019-02-28T00:37:24Z,,CLOSED,"Update request template content",2019-03-07T18:08:06Z
openshift-wiki,ShellyXueHan,true,2019-03-07T18:08:47Z,2019-02-28T00:38:41Z,,CLOSED,"Track history of requests in slack channel",2019-03-07T18:08:47Z
openshift-wiki,kelpisland,true,2019-03-27T21:37:17Z,2019-03-25T15:04:31Z,,CLOSED,"Devhub Issue: How to request a new OpenShift project. Link to Slack#requests needs to be updated",2019-03-27T21:37:17Z
openshift-wiki,ShellyXueHan,true,2019-03-26T19:55:23Z,2019-03-25T16:15:57Z,,CLOSED,"Request wiki pages have outdated slack link",2019-03-26T19:55:24Z
openshift-wiki,kelpisland,true,2019-03-27T21:36:30Z,2019-03-26T19:21:13Z,,CLOSED,"Devhub Issue: How to request new user access to OpenShift change slack links to rocket chat",2019-03-27T21:36:30Z
openshift-wiki,kelpisland,true,2019-03-27T21:31:59Z,2019-03-26T19:55:32Z,,CLOSED,"Devhub Issue: SSO Realm Creation Slack...",2019-03-27T21:31:59Z
openshift-wiki,ShellyXueHan,true,2019-10-23T18:42:27Z,2019-04-10T18:27:12Z,,CLOSED,"Request template for GitHub access",2019-10-23T18:42:27Z
openshift-wiki,jleach,true,2019-05-01T23:29:47Z,2019-04-29T22:22:48Z,,CLOSED,"Service definition for SSO",2019-05-01T23:29:47Z
openshift-wiki,patricksimonian,false,,2019-09-20T18:10:09Z,,OPEN,"Devhub Issue: OpenShift Networking - Pathfinder Project Config - Out of date",2020-01-03T22:56:59Z
openshift-wiki,tosazuwa,true,2019-10-23T18:41:31Z,2019-10-08T23:32:45Z,,CLOSED,"Devhub Issue: How to request new GitHub user access or repository creation [short description here]",2019-10-23T18:41:31Z
openshift-wiki,tosazuwa,true,2019-10-23T18:43:09Z,2019-10-08T23:34:25Z,,CLOSED,"Devhub Issue: How to request new GitHub user access or repository creation [short description here]",2019-10-23T18:43:09Z
openshift-wiki,ShellyXueHan,true,2019-10-23T21:12:39Z,2019-10-23T18:05:30Z,,CLOSED,"Devhub Issue: Requesting a SSO Realm to be created [short description here]",2019-10-23T21:12:39Z
openshift-wiki,ShellyXueHan,true,2019-10-23T21:12:37Z,2019-10-23T18:06:14Z,,CLOSED,"Devhub Issue: How to Request a New OpenShift Project [short description here]",2019-10-23T21:12:37Z
openshift-wiki,ShellyXueHan,true,2019-11-01T23:12:11Z,2019-10-31T19:30:16Z,,CLOSED,"Update kc sso BCSC info",2019-11-01T23:12:11Z
openshift-wiki,csherman-gov,true,2020-01-03T22:17:19Z,2019-12-16T17:33:08Z,,CLOSED,"Devhub Issue: How to Request New User Access to OpenShift [qjtfov]",2020-01-03T22:17:19Z
openshift-wiki,vonfoovonbar,true,2020-01-03T22:20:41Z,2019-12-18T23:36:22Z,,CLOSED,"Devhub Issue: BC Government SSO Service Definition [short description here]",2020-01-03T22:20:41Z
openshift-wiki,KADAMEC,true,2020-03-23T17:17:11Z,2020-01-30T18:46:05Z,,CLOSED,"Devhub Issue: Requesting a SSO Realm to be created for and agile tool being developed called GLADIS.  Requested by Kimberly Adamec kimberly.adamec@gov.bc.ca",2020-03-23T17:17:11Z
openshift-wiki,kelpisland,true,2020-03-23T17:18:19Z,2020-01-31T23:11:10Z,,CLOSED,"Devhub Issue: BC Government SSO Service Definition [short description here]",2020-03-23T17:18:19Z
openshift-wiki,patricksimonian,false,,2020-02-05T18:49:47Z,,OPEN,"Devhub Issue: Persistent Storage Services (add tags to frontmatter)",2020-02-05T18:49:47Z
openshift-wiki,patricksimonian,false,,2020-02-10T21:07:27Z,,OPEN,"Devhub Issue: Persistent Storage Services, clearer  guidance needed on using netapp",2020-03-25T16:32:01Z
openshift-wiki,patricksimonian,true,2020-03-30T22:25:41Z,2020-02-20T17:50:11Z,,CLOSED,"Devhub Issue: Persistent Storage Services:  no Netapp docs",2020-03-30T22:25:41Z
openshift-wiki,patricksimonian,true,2020-03-23T22:31:35Z,2020-03-09T17:51:19Z,,CLOSED,"Devhub Issue: Requesting a SSO Realm to be created [add tags]",2020-03-23T22:31:35Z
openshift-wiki,kelpisland,true,2020-03-23T22:31:25Z,2020-03-09T20:14:39Z,,CLOSED,"Devhub Issue: BC Government SSO Service Definition [Corporate PIA complete]",2020-03-23T22:31:25Z
openshift-wiki,victorchong,false,,2020-03-24T23:01:43Z,,OPEN,"Devhub Issue: How to request new GitHub user access or repository creation [short description here]",2020-03-24T23:01:43Z
openshift-wiki,jleach,false,,2020-09-22T19:28:01Z,,OPEN,"Devhub Issue: BC Gov OpenShift networking overview needs OCP4 updates.",2020-09-22T19:28:01Z
openshift-wiki,zhsu,false,,2020-11-16T23:29:32Z,,OPEN,"Devhub Issue: Requesting a SSO Realm to be created ",2020-11-16T23:32:43Z
openshift-wiki,ll911,false,,2020-12-15T01:24:35Z,,OPEN,"Devhub Issue: Requesting a SSO Realm to be created [short description here]",2020-12-15T01:24:35Z
openshift-wiki,patricksimonian,false,,2020-12-18T19:03:05Z,,OPEN,"Devhub Issue: BC Government SSO Service Definition ",2020-12-18T19:03:05Z
openshift-wiki,joburgar,false,,2021-02-17T17:51:48Z,,OPEN,"Devhub Issue: How to request new GitHub user access andrepository creation",2021-02-17T17:51:48Z
openshift-wiki,lmullane,false,,2021-04-20T21:00:27Z,2021-04-20T21:00:54Z,OPEN,"Devhub Issue: How to request new GitHub users accss",2021-04-20T21:00:54Z
openshift-developer-tools,asanchezr,true,2018-10-24T22:17:48Z,2018-10-24T17:31:08Z,,CLOSED,"Parameter file generation should support values with white-space",2018-10-24T22:17:48Z
openshift-developer-tools,esune,false,,2021-02-02T19:07:14Z,,OPEN,"Always load default profile parameters BEFORE profile-specific parameters",2021-02-02T21:30:43Z
minio-openshift,garywong-bc,false,,2018-04-03T23:31:33Z,,OPEN,"IP Whitelisting?",2018-04-03T23:31:33Z
minio-openshift,gil0109,false,,2020-03-20T01:10:50Z,,OPEN,"Is this a HA instance?",2020-03-20T01:10:50Z
minio-openshift,thegentlemanphysicist,false,,2021-02-22T03:39:05Z,,OPEN,"Has this been moved over to OCP 4?",2021-02-22T03:39:05Z
BDDStack,rstens,false,,2017-12-13T20:25:50Z,,OPEN,"Selection of Item in dropdown box fails in Safari",2017-12-13T20:25:50Z
BDDStack,GuopingJia,true,2018-09-21T07:50:10Z,2018-08-23T15:41:45Z,,CLOSED,"Firefox headless in GebConfig does not work",2018-09-21T07:50:10Z
innovation-lab-projects,agehlers,false,,2018-01-13T00:17:40Z,2018-01-13T01:48:04Z,OPEN,"csnr-devops-lab",2018-01-13T01:48:03Z
innovation-lab-projects,agehlers,false,,2018-01-13T00:24:00Z,2018-01-13T01:47:48Z,OPEN,"ag-devops-lab",2018-01-13T01:47:37Z
innovation-lab-projects,agehlers,false,,2018-01-13T01:43:10Z,2018-01-13T01:50:13Z,OPEN,"agri-nmp",2018-01-13T01:50:12Z
sonarqube,agehlers,true,2018-10-24T14:37:38Z,2018-03-01T23:05:22Z,,CLOSED,"LICENSE File mising",2018-10-24T14:37:38Z
sonarqube,WadeBarnes,false,,2018-11-09T18:53:34Z,,OPEN,"Add additional documentation regarding available jenkins slave images for Sonar scanning",2018-11-13T16:22:39Z
sonarqube,gil0109,false,,2018-11-16T03:13:10Z,,OPEN,"Missing plugins when upgrading Sonarqube Versions",2019-07-29T12:57:12Z
sonarqube,WadeBarnes,true,2019-12-02T21:36:23Z,2019-07-29T12:56:29Z,,CLOSED,"Upgrade to SonarQube 7.9",2019-12-02T21:36:24Z
sonarqube,WadeBarnes,false,,2019-09-05T13:59:52Z,,OPEN,"Document how to use SonarCloud in place of the self hosted SonarQube Server image",2020-03-23T19:15:50Z
sonarqube,WadeBarnes,false,,2019-12-02T21:38:49Z,,OPEN,"Zap Summary Report not showing up in SoranQube 7.9.1",2019-12-21T00:00:27Z
sonarqube,rstens,false,,2020-01-11T00:03:06Z,,OPEN,"jenkins-python3nodejs needs to be updated to support node >= 8",2020-01-11T00:03:21Z
sonarqube,WadeBarnes,true,2020-01-16T17:03:39Z,2020-01-16T15:24:47Z,,CLOSED,"zap-pipeline fails on 'Publish ZAP Report to SonarQube ...' step",2020-01-16T17:03:39Z
sonarqube,emuthiah,true,2020-04-17T00:17:13Z,2020-04-16T17:15:49Z,,CLOSED,"Sonarqube: force authentication",2020-04-17T00:17:13Z
sonarqube,ShellyXueHan,false,,2020-04-30T19:08:24Z,,OPEN,"Share your experience on the integration of SonarCube and SonarCloud",2020-06-04T20:14:14Z
sonarqube,devinleighsmith,false,,2020-09-22T21:17:49Z,,OPEN,"The update to sonarqube 8.4.2 has broken the zap-sonar-plugin",2020-11-28T21:04:28Z
sonarqube,esune,false,,2020-12-23T23:27:00Z,2020-12-23T23:28:26Z,OPEN,"Implement network security policies",2020-12-23T23:28:26Z
jenkins-pipeline-shared-lib,DerekRoberts,true,2021-02-11T20:17:18Z,2018-05-31T19:20:36Z,,CLOSED,"GitHubHelper.groovy - add branch protection support",2021-02-11T20:17:18Z
jenkins-pipeline-shared-lib,jujaga,false,,2020-11-24T00:34:13Z,2020-11-24T00:39:47Z,OPEN,"GitHubHelper.createDeploymentStatus no longer works",2020-11-24T00:39:47Z
certbot,cvarjao,false,,2019-02-07T03:22:08Z,,OPEN,"Add support to endorsed certificate issuer: Entrust",2019-02-07T03:23:25Z
certbot,cvarjao,false,,2019-06-18T21:29:28Z,,OPEN,"Make it compatible with cert-manager",2019-06-18T21:29:28Z
certbot,RajvirBains,true,2020-08-28T17:01:00Z,2020-08-11T21:17:20Z,,CLOSED,"No package certbot-1.3.0-1.el7 available",2020-08-28T17:01:00Z
certbot,cvarjao,false,,2020-12-18T21:52:52Z,,OPEN,"grouping requests certs",2021-03-19T19:42:26Z
certbot,cvarjao,true,2021-02-11T18:48:08Z,2020-12-21T19:27:20Z,,CLOSED,"UBI based image and support to OCP4",2021-02-11T18:48:08Z
certbot,bish0polis,false,,2021-03-10T07:39:24Z,,OPEN,"https://github.com/BCDevOps/certbot/blob/master/docker/Dockerfile#L23 is a little specific",2021-03-18T01:16:43Z
ocp-cd-pipeline,patricksimonian,false,,2019-02-26T17:54:13Z,,OPEN,"Jenkins Runs out of Space",2019-02-26T17:54:13Z
ocp-cd-pipeline,patricksimonian,false,,2019-03-25T16:17:46Z,,OPEN,"Question: Where does the bcgov class come from within the pipeline?",2019-05-14T22:04:59Z
keycloak-admin,ShellyXueHan,true,2019-03-20T23:44:14Z,2019-03-07T19:49:11Z,,CLOSED,"Username contains \ which keycloak doesn't support",2019-03-20T23:44:14Z
keycloak-admin,caggles,true,2019-10-04T19:54:40Z,2019-09-27T19:08:25Z,,CLOSED,"Create Initial Artifactory Docs",2019-10-04T19:54:40Z
keycloak-admin,ShellyXueHan,false,,2019-12-02T22:09:13Z,2019-12-02T23:16:46Z,OPEN,"Keycloak api 400 Bad Request",2019-12-02T23:16:46Z
keycloak-admin,patricksimonian,false,,2019-12-23T18:03:44Z,,OPEN,"Short-lived realm admin ",2019-12-23T18:03:44Z
keycloak-admin,ShellyXueHan,false,,2020-12-31T00:13:24Z,,OPEN,"k6 custom usage output config as file",2020-12-31T00:13:24Z
